,day_of_year,snow_prediction,high_temperature,low_temperature,precipitation_prediction
144,2025-05-25,0,127.23766613006592,127.23766613006592,-89.58704544067382
145,2025-05-26,0,127.23766613006592,127.23766613006592,-89.58704544067382
146,2025-05-27,0,127.23766613006592,127.23766613006592,-89.58704544067382
147,2025-05-28,0,127.23766613006592,127.23766613006592,-89.58704544067382
148,2025-05-29,0,127.23766613006592,127.23766613006592,-89.58704544067382
149,2025-05-30,0,127.23766613006592,127.23766613006592,-89.58704544067382
150,2025-05-31,0,127.23766613006592,127.23766613006592,-89.58704544067382
151,2025-06-01,0,127.23766613006592,127.23766613006592,-89.58704544067382
152,2025-06-02,0,127.23766613006592,127.23766613006592,-89.58704544067382
153,2025-06-03,0,127.23766613006592,127.23766613006592,-89.58704544067382
154,2025-06-04,0,127.23766613006592,127.23766613006592,-89.58704544067382
155,2025-06-05,0,127.23766613006592,127.23766613006592,-89.58704544067382
156,2025-06-06,0,127.23766613006592,127.23766613006592,-89.58704544067382
157,2025-06-07,0,127.23766613006592,127.23766613006592,-89.58704544067382
158,2025-06-08,0,127.23766613006592,127.23766613006592,-89.58704544067382
159,2025-06-09,0,127.23766613006592,127.23766613006592,-89.58704544067382
160,2025-06-10,0,127.23766613006592,127.23766613006592,-89.58704544067382
161,2025-06-11,0,127.23766613006592,127.23766613006592,-89.58704544067382
162,2025-06-12,0,127.23766613006592,127.23766613006592,-89.58704544067382
163,2025-06-13,0,127.23766613006592,127.23766613006592,-89.58704544067382
164,2025-06-14,0,127.23766613006592,127.23766613006592,-89.58704544067382
165,2025-06-15,0,127.23766613006592,127.23766613006592,-89.58704544067382
166,2025-06-16,0,127.23766613006592,127.23766613006592,-89.58704544067382
167,2025-06-17,0,127.23766613006592,127.23766613006592,-89.58704544067382
168,2025-06-18,0,127.23766613006592,127.23766613006592,-89.58704544067382
169,2025-06-19,0,127.23766613006592,127.23766613006592,-89.58704544067382
170,2025-06-20,0,127.23766613006592,127.23766613006592,-89.58704544067382
171,2025-06-21,0,127.23766613006592,127.23766613006592,-89.58704544067382
172,2025-06-22,0,127.23766613006592,127.23766613006592,-89.58704544067382
173,2025-06-23,0,127.23766613006592,127.23766613006592,-89.58704544067382
174,2025-06-24,0,127.23766613006592,127.23766613006592,-89.58704544067382
175,2025-06-25,0,127.23766613006592,127.23766613006592,-89.58704544067382
176,2025-06-26,0,127.23766613006592,127.23766613006592,-89.58704544067382
177,2025-06-27,0,127.23766613006592,127.23766613006592,-89.58704544067382
178,2025-06-28,0,127.23766613006592,127.23766613006592,-89.58704544067382
179,2025-06-29,0,127.23766613006592,127.23766613006592,-89.58704544067382
180,2025-06-30,0,127.23766613006592,127.23766613006592,-89.58704544067382
181,2025-07-01,0,127.23766613006592,127.23766613006592,-89.58704544067382
182,2025-07-02,0,127.23766613006592,127.23766613006592,-89.58704544067382
183,2025-07-03,0,127.23766613006592,127.23766613006592,-89.58704544067382
184,2025-07-04,0,127.23766613006592,127.23766613006592,-89.58704544067382
185,2025-07-05,0,127.23766613006592,127.23766613006592,-89.58704544067382
186,2025-07-06,0,127.23766613006592,127.23766613006592,-89.58704544067382
187,2025-07-07,0,127.23766613006592,127.23766613006592,-89.58704544067382
188,2025-07-08,0,127.23766613006592,127.23766613006592,-89.58704544067382
189,2025-07-09,0,127.23766613006592,127.23766613006592,-89.58704544067382
190,2025-07-10,0,127.23766613006592,127.23766613006592,-89.58704544067382
191,2025-07-11,0,127.23766613006592,127.23766613006592,-89.58704544067382
192,2025-07-12,0,127.23766613006592,127.23766613006592,-89.58704544067382
193,2025-07-13,0,127.23766613006592,127.23766613006592,-89.58704544067382
194,2025-07-14,0,127.23766613006592,127.23766613006592,-89.58704544067382
195,2025-07-15,0,127.23766613006592,127.23766613006592,-89.58704544067382
196,2025-07-16,0,127.23766613006592,127.23766613006592,-89.58704544067382
197,2025-07-17,0,127.23766613006592,127.23766613006592,-89.58704544067382
198,2025-07-18,0,127.23766613006592,127.23766613006592,-89.58704544067382
199,2025-07-19,0,127.23766613006592,127.23766613006592,-89.58704544067382
200,2025-07-20,0,127.23766613006592,127.23766613006592,-89.58704544067382
201,2025-07-21,0,127.23766613006592,127.23766613006592,-89.58704544067382
202,2025-07-22,0,127.23766613006592,127.23766613006592,-89.58704544067382
203,2025-07-23,0,127.23766613006592,127.23766613006592,-89.58704544067382
204,2025-07-24,0,127.23766613006592,127.23766613006592,-89.58704544067382
205,2025-07-25,0,127.23766613006592,127.23766613006592,-89.58704544067382
206,2025-07-26,0,127.23766613006592,127.23766613006592,-89.58704544067382
207,2025-07-27,0,127.23766613006592,127.23766613006592,-89.58704544067382
208,2025-07-28,0,127.23766613006592,127.23766613006592,-89.58704544067382
209,2025-07-29,0,127.23766613006592,127.23766613006592,-89.58704544067382
210,2025-07-30,0,127.23766613006592,127.23766613006592,-89.58704544067382
211,2025-07-31,0,127.23766613006592,127.23766613006592,-89.58704544067382
212,2025-08-01,0,127.23766613006592,127.23766613006592,-89.58704544067382
213,2025-08-02,0,127.23766613006592,127.23766613006592,-89.58704544067382
214,2025-08-03,0,127.23766613006592,127.23766613006592,-89.58704544067382
215,2025-08-04,0,127.23766613006592,127.23766613006592,-89.58704544067382
216,2025-08-05,0,127.23766613006592,127.23766613006592,-89.58704544067382
217,2025-08-06,0,127.23766613006592,127.23766613006592,-89.58704544067382
218,2025-08-07,0,127.23766613006592,127.23766613006592,-89.58704544067382
219,2025-08-08,0,127.23766613006592,127.23766613006592,-89.58704544067382
220,2025-08-09,0,127.23766613006592,127.23766613006592,-89.58704544067382
221,2025-08-10,0,127.23766613006592,127.23766613006592,-89.58704544067382
222,2025-08-11,0,127.23766613006592,127.23766613006592,-89.58704544067382
223,2025-08-12,0,127.23766613006592,127.23766613006592,-89.58704544067382
224,2025-08-13,0,127.23766613006592,127.23766613006592,-89.58704544067382
225,2025-08-14,0,127.23766613006592,127.23766613006592,-89.58704544067382
226,2025-08-15,0,127.23766613006592,127.23766613006592,-89.58704544067382
227,2025-08-16,0,127.23766613006592,127.23766613006592,-89.58704544067382
228,2025-08-17,0,127.23766613006592,127.23766613006592,-89.58704544067382
229,2025-08-18,0,127.23766613006592,127.23766613006592,-89.58704544067382
230,2025-08-19,0,127.23766613006592,127.23766613006592,-89.58704544067382
231,2025-08-20,0,127.23766613006592,127.23766613006592,-89.58704544067382
232,2025-08-21,0,127.23766613006592,127.23766613006592,-89.58704544067382
233,2025-08-22,0,127.23766613006592,127.23766613006592,-89.58704544067382
234,2025-08-23,0,127.23766613006592,127.23766613006592,-89.58704544067382
235,2025-08-24,0,127.23766613006592,127.23766613006592,-89.58704544067382
236,2025-08-25,0,127.23766613006592,127.23766613006592,-89.58704544067382
237,2025-08-26,0,127.23766613006592,127.23766613006592,-89.58704544067382
238,2025-08-27,0,127.23766613006592,127.23766613006592,-89.58704544067382
239,2025-08-28,0,127.23766613006592,127.23766613006592,-89.58704544067382
240,2025-08-29,0,127.23766613006592,127.23766613006592,-89.58704544067382
241,2025-08-30,0,127.23766613006592,127.23766613006592,-89.58704544067382
242,2025-08-31,0,127.23766613006592,127.23766613006592,-89.58704544067382
